,data,label
382,madr aliyah al ikhwan,madrasah aliyah al ikhwan
383,madrasah al al ikhwan,madrasah aliyah al ikhwan
384,madrasah aliyah al ikh,madrasah aliyah al ikhwan
385,kon lilis ponsel,konter lilis ponsel
386,konter lilis pon,konter lilis ponsel
387,purwo,purwodadi
388,romo,romokal
389,y soed ii b,y soedarso ii b
390,klinik rancam dokter jaga 24jam,klinik rancamanyar dokter jaga 24jam
391,isrokah dag kambing,isrokah daging kambing
392,isrokah daging kamb,isrokah daging kambing
393,griya setu per 3,griya setu permai 3
394,dyna core computer & cellular,dynasty core computer & cellular
395,dynasty core comp & cellular,dynasty core computer & cellular
396,es cen elizabeth,es cendol elizabeth
397,samudra trik loyd. pt pelayaran,samudra trikora loyd. pt pelayaran
398,kar kenc,karang kenc
399,kopdaran sag motor community,kopdaran sagaya motor community
400,kopdaran sagaya motor commu,kopdaran sagaya motor community
401,pon cuci,pondok cuci
402,raya mad - sura,raya madiun - sura
403,interna komputer pt,internasional komputer pt
404,internasional komp pt,internasional komputer pt
405,hel hartono mall lt.lg,hellio hartono mall lt.lg
406,hellio hart mall lt.lg,hellio hartono mall lt.lg
407,avis car access,avis car accessories
408,soek,soekarno
409,pang lintas java,pangkas lintas java
410,raya rut,raya ruteng
411,kantor nota bambang setiawan sh mkn,kantor notaris bambang setiawan sh mkn
412,sebe jemabatan arah ke jendral,sebelum jemabatan arah ke jendral
413,sebelum jemab arah ke jendral,sebelum jemabatan arah ke jendral
414,jangli tla v,jangli tlawah v
415,posy kencana rini iii,posyandu kencana rini iii
416,posyandu kenc rini iii,posyandu kencana rini iii
417,soto mini dag sapi,soto mini daging sapi
418,sd neg 2 alue dua,sd negeri 2 alue dua
419,warung mus bondowoso 02,warung muslim bondowoso 02
420,warung muslim bondo 02,warung muslim bondowoso 02
421,paya,payangan
422,majelis tak kliwonan,majelis taklim kliwonan
423,bali usaha kar cv,bali usaha karya. cv
424,mar raya,margas raya
425,ud chan jaya kertosono,ud chandra jaya kertosono
426,pon darut tauhid madad,ponpes darut tauhid madad
427,p. kem iii,p. kemerd iii
428,sut flamb 6,sut flamboyan 6
429,band indah plaza,bandung indah plaza
430,exsp,exsport
431,bent electronic & furniture,bentang electronic & furniture
432,pur iv,purnab iv
433,sd neg bojong koneng iv,sd negeri bojong koneng iv
434,sd negeri boj koneng iv,sd negeri bojong koneng iv
435,war exsel,warung exsel
436,toko semb cv tunggal jaya,toko sembako cv tunggal jaya
437,toko sembako cv tung jaya,toko sembako cv tunggal jaya
438,thaitea nyot nyot prap,thaitea nyot nyot prapatan
439,peri laundry,perintis laundry
440,perum pesona sindangheula,perumahan pesona sindangheula
441,pkbm nege jakarta selatan,pkbm negeri35 jakarta selatan
442,batik mli putih,batik mliwis putih
443,lin suma,lin sumatera
444,red beat,red beatique
445,kan pusat pt bpr syariah lantabur tebuireng,kantor pusat pt bpr syariah lantabur tebuireng
446,kantor pusat pt bpr syariah lant tebuireng,kantor pusat pt bpr syariah lantabur tebuireng
447,universitas galuh faku teknik,universitas galuh fakultas teknik
448,arya jang,arya janggala
449,percet mps,percetakan mps
450,prima clin,prima clinica
451,war dwi,warung dwi
452,mas al-bana,masjid al-bana
453,yayasan bha suci jl. gajah mada pontianak,yayasan bhakti suci jl. gajah mada pontianak
454,jill tour & travel,jillian tour & travel
455,jillian tour & tra,jillian tour & travel
456,pent toko,pentagon toko
457,koperasi war,koperasi wartel
458,lapa sepakbola,lapangan sepakbola
459,beng las ade jaya,bengkel las ade jaya
460,dekats barber,dekats barbershop
461,indrap,indraprasta
462,war japerin,warnet japerin
463,indom ft38,indomaret ft38
464,mas darul kirom,masjid darul kirom
465,ren komputer ikhsan,rental komputer ikhsan
466,rental komp ikhsan,rental komputer ikhsan
467,rental komputer ikh,rental komputer ikhsan
468,soto seger boyo,soto seger boyolali
469,mas dawe,masjid dawe
470,"mesjid darul falah, komp pertokoan aur dalam samping","mesjid darul falah, komplek pertokoan aur dalam samping"
471,"mesjid darul falah, komplek perto aur dalam samping","mesjid darul falah, komplek pertokoan aur dalam samping"
472,ked anyar v,kedung anyar v
473,kan desa seiputih,kantor desa seiputih
474,sec recipe,secret recipe
475,banja kel.,banjarejo kel.
476,bal kandangsemangkon,baldes kandangsemangkon
477,warung ayam gep 87,warung ayam geprek 87
478,j peg ind bar ii e,j pegang ind bar ii e
479,kand sapi mas agus,kandang sapi mas agus
480,majelis taklim ar rah,majelis taklim ar rahman
481,safh motor,safhira motor
482,bank neg indonesia,bank negara indonesia
483,kh must,kh mustofa
484,wallp import,wallpaper import
485,sam ratul,sam ratulangi
486,kas kulon,kasoma kulon
487,ged c2,gedung c2
488,prof muha yamin i,prof muhammad yamin i
489,war sari laut mas ottong,warung sari laut mas ottong
490,mas thoriqul jannah,masjid thoriqul jannah
491,sd muhamma siraman,sd muhammadiyah siraman
492,sd muhammadiyah sira,sd muhammadiyah siraman
493,mts al hida palasah,mts al hidayah palasah
494,mts al hidayah al,mts al hidayah palasah
495,jend bas rah,jend basuki rah
496,adr cell,adrian cell
497,gun agung,gunung agung
498,gunung gun,gunung agung
499,kli pratama asy-syifa,klinik pratama asy-syifa
500,madr tsanawiyah fatahillah,madrasah tsanawiyah fatahillah
501,madrasah tsanawiyah fatahi,madrasah tsanawiyah fatahillah
502,sd neg sruwen 02,sd negeri sruwen 02
503,sd negeri sru 02,sd negeri sruwen 02
504,tanj pura,tanjung pura
505,k perk bengkel,k perkasa bengkel
506,zaf collection,zafran collection
507,taman keba indah blok p,taman kebalen indah blok p
508,lin suma bang bungo,lin suma bangko- bungo
509,pot rambut dardi,potong rambut dardi
510,potong ram dardi,potong rambut dardi
511,mas darussalam,masjid darussalam
512,pejan,pejanggik
513,beng mobil,bengkel mobil
514,astron mansion 2nd floor,astronacci mansion 2nd floor
515,astronacci mans 2nd floor,astronacci mansion 2nd floor
516,nat shop,natnay shop
517,ima family care,imatho family care
518,imatho fam care,imatho family care
519,bah yusuf,baharu yusuf
520,shu cock lasmuan,shutle cock lasmuan
521,kap abdul haq,kapten abdul haq
522,waroeng es kel muda bang emon,waroeng es kelapa muda bang emon
523,"taman graha perjuangan, yos suda","taman graha perjuangan, yos sudarso"
524,lumb artema,lumbung artema
525,dinas perta kotatual,dinas pertanian kotatual
526,toko bina,toko binatang
527,springhill office tow floor 20th,"springhill office tower, floor 20th"
528,war ibu tiya,warung ibu tiya
529,ag tex toko,ag textil toko
530,stas kereta api,stasiun kereta api
531,stasiun ker api,stasiun kereta api
532,sate pad semesta,sate padang semesta
533,percetakan dan foto neshia,percetakan dan fotocopy neshia
534,raviria pt,ravirianmas. pt
535,beng motor nez,bengkel motor nez
536,matah tb,matahari. tb
537,yasa expa sejahtera,yasa expansia sejahtera
538,new sara,new sarangan
539,bank cent asia rs sari asih,bank central asia rs sari asih
540,war anita sari,warung anita sari
541,station cell bppn,station cellular bppn
542,grand engl course,grand english course
543,toko zai anang,toko zainah anang
544,jl.p,jl.panj
545,bano ten i,banowati ten i
546,raya gad kir,raya gading kir
547,serd raya,serdang raya
548,musholla baitul gho,musholla baitul ghofur
549,kart i,kartini i
550,gep original,geprek original
551,grek coffe and choco,grek coffe and chocolate
552,cafe dan ren ps4 pes 2018,cafe dan rental ps4 pes 2018
553,puri,purimas
554,kinta camping,kintamani camping
555,pt purinta sis indonesia,pt purinta sistem indonesia
556,private engl conversation for adults,private english conversation for adults
557,private english convers for adults,private english conversation for adults
558,bank neg indonesia,bank negara indonesia
559,bank negara indon,bank negara indonesia
560,kar cafe,kareba cafe
561,smk nur syaf ummah,smk nur syafi'il ummah
562,ipik gan,ipik gandam
563,pes baru toko,pesona baru toko
564,pengolah maka nur hidayah,pengolah makanan nur hidayah
565,raya samb gede,raya sambong gede
566,muhm iman,muhmmad iman
567,kamp hutan tua,kampung hutan tua
568,mitra media sejah,mitra media sejahtera
569,pem 1,pemban 1
570,warung nasi gor,warung nasi goreng
571,khar sport & musik,kharisma sport & musik
572,war gorengan siang malam,warung gorengan siang malam
573,samp masjid jami' bin furaidan,samping masjid jami' bin furaidan
574,samping masjid jami' bin fura,samping masjid jami' bin furaidan
575,majelis tak babul iman,majelis taklim babul iman
576,cv. prada pandan pratama,cv. prada pandanaran pratama
577,al-f 2,al-fath 2
578,raya blo,raya blora-
579,pt. sarana multig finansial,pt. sarana multigriya finansial
580,kom gramedia,kompas gramedia
581,kompas gram,kompas gramedia
582,raya padang panj - buk,raya padang panj - bukitt
583,toko perhi mas rejo mulyo,toko perhiasan mas rejo mulyo
584,kena acupoint theraphy,kenangah acupoint theraphy
585,kenangah acupoint ther,kenangah acupoint theraphy
586,sel permai,selong permai
587,mas baitul amanah,masjid baitul amanah
588,masjid bai amanah,masjid baitul amanah
589,masjid baitul ama,masjid baitul amanah
590,perd oti 2,perdatam oti 2
591,pesantren mift hidayah al-syafa,pesantren miftahul hidayah al-syafa
592,mdpu fina pt,mdpu finance. pt
593,pot rambut niksen,potong rambut niksen
594,potong rambut nik,potong rambut niksen
595,onna win fashion,onna window fashion
596,zahvie ols,zahvie olshop
597,r sha mus collection,r sha muslim collection
598,"t1, gg. tela","t1, gg. teladan"
599,lapa voly methuk,lapangan voly methuk
600,lapangan voly met,lapangan voly methuk
601,jl. giri mekar per 3 b,jl. giri mekar permai 3 b
602,kan politeknik api yogyakarta,kantin politeknik api yogyakarta
603,kantin polite api yogyakarta,kantin politeknik api yogyakarta
604,masjid masjif bai hamdani,masjid masjif baitul hamdani
605,kenc utara ii,kencana utara ii
606,cah agung,cahaya agung
607,prin,pringgok
608,waro kopi,waroeng kopi
609,maje taklim assalam,majelis taklim assalam
610,balai ban kaleran kaja,balai banjar kaleran kaja
611,grand cemp resort & convention,grand cempaka resort & convention
612,sre laun,sre laundry
613,ari mand motor nusa dua,ari mandiri motor nusa dua
614,griya ter sinergi,griya terapi sinergi
615,dok gigi elizabeth daru su wijaya,dokter gigi elizabeth daru su wijaya
616,macc raya,maccini raya
617,toko bu misr,toko bu misrhan
618,kan lurah parit,kantor lurah parit
619,suna priyo sudarmo,sunandar priyo sudarmo
620,bank rak indonesia,bank rakyat indonesia
621,rumah makan elok ras,rumah makan elok rasaki
622,tanj duren dalam 6,tanjung duren dalam 6
623,bril house,brillian house
624,penj anandha,penjahit anandha
625,pekan ac,pekanbaru ac
626,hili kel.,hiliuso kel.
627,raya boj,raya bojong
628,apo mardi husada,apotek mardi husada
629,apotek mardi hus,apotek mardi husada
630,sma muhammadiyah 02 wulu,sma muhammadiyah 02 wuluhan
631,jemb layang,jembatan layang
632,pasar nag batukambing,pasar nagari batukambing
633,pasar nagari batu,pasar nagari batukambing
634,peri kemerd,perintis kemerd
635,perintis kem,perintis kemerd
